,priceoff,quantity,Address,upc,zip_code,storeAddress,Store_Latitude,Store_Longitude
334,50% off,Out of Stock,"20801 Ventura Blvd Woodland Hills, CA",190198000000,91364,20801+Ventura+Blvd+Woodland+Hills+CA+91364,34.1675114,-118.5847221
335,50% off,Out of Stock,"6700 Topanga Canyon Blvd Canoga Park, CA",190198000000,91303,6700+Topanga+Canyon+Blvd+Canoga+Park+CA+91303,34.191843,-118.602589
336,50% off,Out of Stock,"6635 Fallbrook Ave West Hills, CA",190198000000,91307,6635+Fallbrook+Ave+West+Hills+CA+91307,34.1903848,-118.6266613
337,50% off,Out of Stock,"24425 Magic Mountain Pkwy Valencia, CA",190198000000,91355,24425+Magic+Mountain+Pkwy+Valencia+CA+91355,34.4210634,-118.5615876
338,50% off,Out of Stock,"2907 Cochran St Simi Valley, CA",190198000000,93065,2907+Cochran+St+Simi+Valley+CA+93065,34.280517,-118.7396607
339,50% off,Out of Stock,"1931 Campus Ave Upland, CA",190198000000,91784,1931+Campus+Ave+Upland+CA+91784,34.1335389,-117.640734
340,50% off,Out of Stock,"30740 Russell Ranch Rd Westlake Village, CA",190198000000,91362,30740+Russell+Ranch+Rd+Westlake+Village+CA+91362,34.1475822,-118.7935806
341,50% off,Out of Stock,"51 Tierra Rejada Rd Simi Valley, CA",190198000000,93065,51+Tierra+Rejada+Rd+Simi+Valley+CA+93065,34.2734901,-118.798316
342,50% off,Out of Stock,"800 New Los Angeles Ave Moorpark, CA",190198000000,93021,800+New+Los+Angeles+Ave+Moorpark+CA+93021,34.2782751,-118.8671988
343,50% off,Limited Stock,"2705 Teller Rd Thousand Oaks, CA",190198000000,91320,2705+Teller+Rd+Thousand+Oaks+CA+91320,34.1909139,-118.934123
344,50% off,Limited Stock,"209 W Ventura Blvd Camarillo, CA",190198000000,93010,209+W+Ventura+Blvd+Camarillo+CA+93010,34.2166044,-119.0727202
345,50% off,Out of Stock,"2850 N OXNARD BLVD Oxnard, CA",190198000000,93036,2850+N+OXNARD+BLVD+Oxnard+CA+93036,34.242298,-119.1769609
346,50% off,Out of Stock,"4200 E Main St Ventura, CA",190198000000,93003,4200+E+Main+St+Ventura+CA+93003,34.2613949,-119.2370498
347,50% off,Limited Stock,"2370 S Azusa Ave West Covina, CA",190198000000,91792,2370+S+Azusa+Ave+West+Covina+CA+91792,34.0329892,-117.9115354
348,50% off,Out of Stock,"2831 E Eastland Ctr Dr West Covina, CA",190198000000,91791,2831+E+Eastland+Ctr+Dr+West+Covina+CA+91791,34.0735341,-117.8838536
349,50% off,Out of Stock,"17751 Colima Rd Rowland Heights, CA",190198000000,91748,17751+Colima+Rd+Rowland+Heights+CA+91748,33.9921289,-117.9185109
350,50% off,Out of Stock,"888 W Arrow Hwy San Dimas, CA",190198000000,91773,888+W+Arrow+Hwy+San+Dimas+CA+91773,34.1063716,-117.8244262
351,50% off,Out of Stock,"747 Grand Ave Diamond Bar, CA",190198000000,91765,747+Grand+Ave+Diamond+Bar+CA+91765,34.004442,-117.8210683
352,50% off,Out of Stock,"2462 Foothill Blvd La Verne, CA",190198000000,91750,2462+Foothill+Blvd+La+Verne+CA+91750,34.1096272,-117.759877
353,50% off,Out of Stock,"855 E Birch St Brea, CA",190198000000,92821,855+E+Birch+St+Brea+CA+92821,33.9188656,-117.8877513
354,50% off,Out of Stock,"701 Rio Rancho Road Pomona, CA",190198000000,91766,701+Rio+Rancho+Road+Pomona+CA+91766,34.034835,-117.7558457
355,50% off,Out of Stock,"3944 Grand Ave Chino, CA",190198000000,91710,3944+Grand+Ave+Chino+CA+91710,34.0016935,-117.7187131
356,50% off,Out of Stock,"5555 Philadelphia St Chino, CA",190198000000,91710,5555+Philadelphia+St+Chino+CA+91710,34.032775,-117.681443
357,50% off,Out of Stock,"8148 E Santa Ana Canyon Rd Anaheim, CA",190198000000,92808,8148+E+Santa+Ana+Canyon+Rd+Anaheim+CA+92808,33.8652921,-117.7470499
358,50% off,Out of Stock,"9052 Central Ave Montclair, CA",190198000000,91763,9052+Central+Ave+Montclair+CA+91763,34.0903668,-117.6907833
359,50% off,Out of Stock,"12471 Limonite Ave Mira Loma, CA",190198000000,91752,12471+Limonite+Ave+Mira+Loma+CA+91752,33.9783777,-117.5541707
