Google_Api_Query,Google_Maps,Item_Availability,Item_Discount,Item_Price,Item_Quantity,Store_Latitude,Store_Longitude,Store_Name,Store_Zip
855+N+Church+St+Thomaston+GA+30286,https://maps.google.com/maps?q=855+N+Church+St+Thomaston+GA+30286,In Stock,15% off,$16.88 ,3,32.9126065,-84.3339912,Walmart Supercenter #1112,30286
1569+N+Expressway+Griffin+GA+30223,https://maps.google.com/maps?q=1569+N+Expressway+Griffin+GA+30223,In Stock,15% off,$16.88 ,3,33.2724117,-84.2966681,Walmart Supercenter #932,30223
135+Willow+Ln+Mcdonough+GA+30253,https://maps.google.com/maps?q=135+Willow+Ln+Mcdonough+GA+30253,In Stock,15% off,$16.88 ,4,33.432892,-84.1847228,Walmart Supercenter #3201,30253
2423+Us+Highway+80+W+Dublin+GA+31021,https://maps.google.com/maps?q=2423+Us+Highway+80+W+Dublin+GA+31021,Limited Stock,15% off,$16.88 ,0,32.5512337,-82.9723114,Walmart Supercenter #555,31021
1401+Gray+Hwy+Macon+GA+31211,https://maps.google.com/maps?q=1401+Gray+Hwy+Macon+GA+31211,Out of Stock,15% off,$16.88 ,0,32.8631025,-83.6108372,Walmart Supercenter #1076,31211
1009+Saint+Patricks+Dr+Perry+GA+31069,https://maps.google.com/maps?q=1009+Saint+Patricks+Dr+Perry+GA+31069,Out of Stock,75% off,$5.00 ,0,32.4728379,-83.7393372,Walmart Supercenter #2733,31069
4949+Bill+Gardner+Pkwy+Locust+Grove+GA+30248,https://maps.google.com/maps?q=4949+Bill+Gardner+Pkwy+Locust+Grove+GA+30248,Out of Stock,75% off,$5.00 ,0,33.3573633,-84.1205299,Walmart Supercenter #5709,30248
366+Hwy+26+East+Cochran+GA+31014,https://maps.google.com/maps?q=366+Hwy+26+East+Cochran+GA+31014,Out of Stock,15% off,$16.88 ,0,32.409783,-83.325038,Walmart #7246,31014
1955+E+Montgomery+Xrd+Savannah+GA+31406,https://maps.google.com/maps?q=1955+E+Montgomery+Xrd+Savannah+GA+31406,In Stock,15% off,$16.88 ,3,31.9867989,-81.0824081,Walmart Supercenter #605,31406
6000+Ogeechee+Rd+Savannah+GA+31419,https://maps.google.com/maps?q=6000+Ogeechee+Rd+Savannah+GA+31419,In Stock,15% off,$16.88 ,12,31.9997116,-81.2579061,Walmart Supercenter #635,31419
